ell, D_ell_muK2, D_ell_err_lower, D_ell_err_upper
2, 225.8950, 132.3690, 533.0620
3, 936.9200, 450.4710, 1212.3080
4, 692.2380, 294.1110, 666.4690
5, 1501.7050, 574.4320, 1155.8040
6, 557.6110, 201.2420, 375.7630
7, 1152.6430, 381.5840, 670.8240
8, 615.8460, 191.9970, 323.4460
9, 697.8210, 214.6380, 349.5810
10, 803.6580, 232.8460, 367.9450
11, 869.5800, 240.2600, 371.0430
12, 764.0740, 204.9510, 310.5760
13, 599.0030, 158.5930, 235.5810
14, 808.1390, 199.3700, 290.7510
15, 1022.1110, 243.4870, 349.7000
16, 621.2920, 150.9770, 215.7980
17, 1035.3780, 236.1670, 332.0950
18, 674.5930, 156.3410, 216.8720
19, 951.6420, 211.5540, 290.9970
20, 659.8630, 144.7800, 197.6370
21, 601.9240, 136.0500, 185.2580
22, 605.2950, 131.6980, 177.0410
23, 748.5190, 155.9380, 208.7000
24, 850.4960, 175.6000, 233.2160
25, 814.2680, 169.4330, 224.3060
26, 823.8030, 164.3980, 215.3550
27, 1004.0220, 190.2930, 247.8790
28, 1149.8890, 215.0900, 279.0780
29, 979.5670, 183.0710, 236.6550
